Sample,Count
Amsterdam-VUmc,57
Bangalore-NIMHANS,358
Barcelona-HCPB,64
Barcelone-Bellvitge-ANTIGA-1.5T,137
Barcelone-Bellvitge-PROV-1.5T,64
Barcelone-Bellvitge-RESP-CBT-3T,57
Bergen,53
Braga-UMinho-Braga-1.5T,46
Braga-UMinho-Braga-1.5T-act,96
Braga-UMinho-Braga-3T,59
Brazil,93
Cape-Town-UCT-Skyra,39
Chiba-CHB,42
Chiba-CHBC,53
Chiba-CHBSRPB,89
Dresden,35
Kyoto-KPU-Kyoto1.5T,25
Kyoto-KPU-Kyoto3T,70
New-York,60
NYSPI-Columbia-Adults,70
NYSPI-Columbia-Pediatric,34
Seoul-SNU,95
Shanghai-SMCH,84
UCLA,51
Vancouver-BCCHR,46
Yale-Gruner,29
Yale-Pittinger-HCP-Prisma,61
Yale-Pittinger-HCP-Trio,43
Yale-Pittinger-Yale-2014,85
